iterations,fitness,time,fevals
0,15.0,1.164e-05,11
10,12.0,2.2167e-05,21
20,12.0,3.3836e-05,31
30,12.0,4.63979999999e-05,41
40,13.0,5.87599999999e-05,51
50,14.0,7.0967e-05,61
60,16.0,8.2944e-05,71
70,15.0,9.5165e-05,81
80,15.0,0.000106534,91
90,15.0,0.000118336,101
100,15.0,0.000134143,111
110,15.0,0.000146588,121
120,15.0,0.000162897,131
130,17.0,0.00017507,141
140,17.0,0.00024328,151
150,17.0,0.000254558,161
160,17.0,0.000266471,171
170,17.0,0.000276875,181
180,17.0,0.000288628,191
190,17.0,0.000299835,201
200,18.0,0.00038747,211
210,19.0,0.000401666,221
220,19.0,0.00041501,231
230,19.0,0.00042798,241
240,20.0,0.000441056,251
250,20.0,0.000472612,261
260,21.0,0.000549812,271
270,21.0,0.000569356,281
280,21.0,0.000586774,291
290,21.0,0.000601007,301
300,21.0,0.000613748,311
310,21.0,0.000641206,321
320,22.0,0.000661692,331
330,23.0,0.000687556,341
340,23.0,0.000712792,351
350,23.0,0.00073678,361
360,23.0,0.000752963,371
370,23.0,0.000767188,381
380,24.0,0.000778535,391
390,27.0,0.000791788,401
400,27.0,0.000803039,411
410,27.0,0.000813685,421
420,28.0,0.000824857,431
430,28.0,0.000840113,441
440,28.0,0.000851712,451
450,28.0,0.00086466,461
460,28.0,0.000875624,471
470,33.0,0.000886273,481
480,33.0,0.000897629,491
490,33.0,0.000911026,501
500,33.0,0.00092226,511
510,33.0,0.000933624,521
520,33.0,0.000945568,531
530,33.0,0.000956624,541
540,33.0,0.000968228,551
550,33.0,0.000980803,561
560,33.0,0.000990466,571
570,33.0,0.001002324,581
580,33.0,0.001014027,591
590,33.0,0.001025364,601
600,33.0,0.001037995,611
610,33.0,0.001089278,621
620,33.0,0.001103714,631
630,33.0,0.001120214,641
640,33.0,0.00113425,651
650,33.0,0.001147252,661
660,33.0,0.001159224,671
670,33.0,0.001171474,681
680,33.0,0.001183069,691
690,33.0,0.001195241,701
700,33.0,0.001206788,711
710,33.0,0.001234142,721
720,33.0,0.001247401,731
730,33.0,0.001259992,741
740,33.0,0.001273496,751
750,33.0,0.001286283,761
760,34.0,0.001300338,771
770,34.0,0.001313736,781
780,34.0,0.001328454,791
790,34.0,0.001341,801
800,34.0,0.001369165,811
810,34.0,0.001380516,821
820,34.0,0.00139464,831
830,34.0,0.001405495,841
840,34.0,0.001416747,851
850,34.0,0.001428258,861
860,34.0,0.001441251,871
870,34.0,0.001453661,881
880,34.0,0.001480703,891
890,34.0,0.001491875,901
900,34.0,0.001504583,911
910,34.0,0.001522143,921
920,34.0,0.001534305,931
930,34.0,0.001547637,941
940,34.0,0.001558585,951
950,34.0,0.001568854,961
960,34.0,0.001619763,971
970,34.0,0.001631201,981
980,35.0,0.001642985,991
990,35.0,0.001653954,1001
1000,35.0,0.001664399,1011
