iterations,fitness,time,fevals
0,33.0,0.087822064,1000
10,37.0,0.155318493,2100
20,38.0,0.217316831,3200
30,42.0,0.274316708,4300
40,42.0,0.333738717,5400
50,45.0,0.38636843,6500
60,43.0,0.440439214,7600
70,46.0,0.497781363,8700
80,46.0,0.550047539,9800
90,46.0,0.596432668,10900
100,46.0,0.652269283,12000
110,53.0,0.707964438,13100
120,48.0,0.764008188,14200
130,51.0,0.818037316,15300
140,59.0,0.87400711,16400
150,52.0,0.928443676,17500
160,51.0,0.984633615,18600
170,51.0,1.033505857,19700
180,52.0,1.087170297,20800
190,53.0,1.143558165,21900
200,55.0,1.199144251,23000
210,54.0,1.24620762,24100
220,55.0,1.296520524,25200
230,56.0,1.350702951,26300
240,53.0,1.407792246,27400
250,53.0,1.459096292,28500
260,55.0,1.513349578,29600
270,55.0,1.568204331,30700
280,53.0,1.622718242,31800
290,52.0,1.670315597,32900
300,55.0,1.720501644,34000
310,55.0,1.776985641,35100
320,54.0,1.834231219,36200
330,55.0,1.884691975,37300
340,55.0,1.943789854,38400
350,55.0,1.998224466,39500
360,56.0,2.049574802,40600
370,53.0,2.100401701,41700
380,52.0,2.153802524,42800
390,55.0,2.208238416,43900
400,53.0,2.260969287,45000
410,55.0,2.30986083,46100
420,53.0,2.359506063,47200
430,53.0,2.415113298,48300
440,53.0,2.467653075,49400
450,55.0,2.514600356,50500
460,55.0,2.563827477,51600
470,53.0,2.620222267,52700
480,55.0,2.675837743,53800
490,61.0,2.73178497,54900
500,53.0,2.784047821,56000
510,55.0,2.837987042,57100
520,56.0,2.894007551,58200
530,57.0,2.944137561,59300
540,55.0,2.99857121,60400
550,55.0,3.058977573,61500
560,58.0,3.112933716,62600
570,55.0,3.168586622,63700
580,55.0,3.219579263,64800
590,55.0,3.277747385,65900
600,61.0,3.329375479,67000
610,56.0,3.384207768,68100
620,56.0,3.438823888,69200
630,56.0,3.491743208,70300
640,62.0,3.551246014,71400
650,56.0,3.601127208,72500
660,56.0,3.653017972,73600
670,61.0,3.707922479,74700
680,55.0,3.762482185,75800
690,58.0,3.808857174,76900
700,56.0,3.857450466,78000
710,55.0,3.909077309,79100
720,61.0,3.960396796,80200
730,56.0,4.009512142,81300
740,61.0,4.059432848,82400
750,56.0,4.117118106,83500
760,56.0,4.169780655,84600
770,56.0,4.219517252,85700
780,56.0,4.267133631,86800
790,56.0,4.310793543,87900
800,61.0,4.367235888,89000
810,61.0,4.421611216,90100
820,61.0,4.467774197,91200
830,56.0,4.516906862,92300
840,56.0,4.564488048,93400
850,55.0,4.615657248,94500
860,61.0,4.673799577,95600
870,57.0,4.725120278,96700
880,56.0,4.772708891,97800
890,56.0,4.824864338,98900
900,56.0,4.880278635,100000
910,61.0,4.925881782,101100
920,61.0,4.97722329,102200
930,62.0,5.030224063,103300
940,61.0,5.083003936,104400
950,62.0,5.130025872,105500
960,62.0,5.17805447,106600
970,57.0,5.230209398,107700
980,56.0,5.283214162,108800
990,58.0,5.336660509,109900
1000,62.0,5.382387331,111000
