iterations,fitness,time,fevals
0,21.0,0.094420272,1000
10,27.0,0.175571516,2100
20,28.0,0.246006577,3200
30,33.0,0.319267055,4300
40,33.0,0.379667063,5400
50,35.0,0.444319866,6500
60,35.0,0.508005247,7600
70,44.0,0.572469928,8700
80,44.0,0.62763713,9800
90,41.0,0.690335647,10900
100,46.0,0.747368265,12000
110,42.0,0.815563677,13100
120,42.0,0.870377034,14200
130,43.0,0.925887449,15300
140,43.0,0.98231644,16400
150,49.0,1.038006454,17500
160,48.0,1.0937376,18600
170,44.0,1.152122225,19700
180,46.0,1.210681815,20800
190,43.0,1.27850728,21900
200,46.0,1.335078015,23000
210,46.0,1.397699363,24100
220,49.0,1.45304144,25200
230,54.0,1.516954644,26300
240,49.0,1.569824924,27400
250,50.0,1.621733859,28500
260,46.0,1.676597534,29600
270,47.0,1.739108158,30700
280,47.0,1.79791222,31800
290,47.0,1.856362872,32900
300,47.0,1.909638762,34000
310,47.0,1.967613354,35100
320,49.0,2.024156422,36200
330,47.0,2.072835455,37300
340,47.0,2.127881038,38400
350,47.0,2.186183859,39500
360,46.0,2.247731229,40600
370,47.0,2.305633213,41700
380,49.0,2.356000377,42800
390,47.0,2.413639467,43900
400,47.0,2.470956926,45000
410,51.0,2.526171755,46100
420,46.0,2.576407512,47200
430,50.0,2.636640583,48300
440,47.0,2.690634374,49400
450,51.0,2.740488648,50500
460,46.0,2.795969371,51600
470,46.0,2.84605915,52700
480,47.0,2.898069426,53800
490,47.0,2.948627376,54900
500,50.0,3.000046177,56000
510,46.0,3.054234633,57100
520,47.0,3.120415014,58200
530,47.0,3.175305504,59300
540,47.0,3.229846107,60400
550,46.0,3.299987653,61500
560,51.0,3.363776838,62600
570,52.0,3.427610651,63700
580,49.0,3.495092049,64800
590,47.0,3.561959272,65900
600,51.0,3.617672113,67000
610,47.0,3.673671517,68100
620,47.0,3.725818153,69200
630,47.0,3.807003228,70300
640,47.0,3.867105425,71400
650,52.0,3.919214913,72500
660,52.0,3.971107564,73600
670,52.0,4.026644617,74700
680,54.0,4.08005817,75800
690,51.0,4.130577703,76900
700,54.0,4.181353193,78000
710,55.0,4.241080344,79100
720,54.0,4.293042,80200
730,56.0,4.34170786,81300
740,56.0,4.392051711,82400
750,55.0,4.443104805,83500
760,54.0,4.498577428,84600
770,54.0,4.551093568,85700
780,55.0,4.606024078,86800
790,53.0,4.660816572,87900
800,53.0,4.727099836,89000
810,53.0,4.782400026,90100
820,53.0,4.836991927,91200
830,55.0,4.901277663,92300
840,57.0,4.962140571,93400
850,53.0,5.019926168,94500
860,53.0,5.069708913,95600
870,54.0,5.124546224,96700
880,54.0,5.178301777,97800
890,53.0,5.22894824,98900
900,53.0,5.277519526,100000
910,51.0,5.329210747,101100
920,53.0,5.38732153,102200
930,57.0,5.436143159,103300
940,53.0,5.487205782,104400
950,54.0,5.538830644,105500
960,54.0,5.58925808,106600
970,53.0,5.641184866,107700
980,53.0,5.69711018,108800
990,54.0,5.762545737,109900
1000,55.0,5.817599733,111000
