iterations,fitness,time,fevals
0,19.0,0.000872226,647
10,23.0,0.00163675,1191
20,22.0,0.002328441,1735
30,22.0,0.003144939,2278
40,21.0,0.00381016,2821
50,23.0,0.004429939,3375
60,23.0,0.005003886,3917
70,30.0,0.005600274,4460
80,30.0,0.006290735,5003
90,30.0,0.006889242,5554
100,31.0,0.007524084,6111
110,32.0,0.008048982,6657
120,31.0,0.008568909,7199
130,32.0,0.009085723,7751
140,32.0,0.009590312,8298
150,32.0,0.010099108,8842
160,31.0,0.010695628,9389
170,31.0,0.011190707,9929
180,31.0,0.01175635,10480
190,32.0,0.012294799,11025
200,33.0,0.012886247,11571
210,31.0,0.013636505,12116
220,32.0,0.0141399,12672
230,32.0,0.014622812,13219
240,32.0,0.015079614,13764
250,33.0,0.01553366,14311
260,33.0,0.015989547,14868
270,32.0,0.016547867,15420
280,33.0,0.017013268,15978
290,33.0,0.017504013,16524
300,34.0,0.017961161,17073
310,34.0,0.018421964,17633
320,33.0,0.018865307,18180
330,34.0,0.019358634,18724
340,34.0,0.019797022,19270
350,34.0,0.02036606,19812
360,35.0,0.020810641,20354
370,34.0,0.021328028,20907
380,34.0,0.021830821,21455
390,34.0,0.022390632,21999
400,35.0,0.022898609,22542
410,34.0,0.023437954,23091
420,35.0,0.023983583,23629
430,35.0,0.024476573,24176
440,37.0,0.024977385,24724
450,37.0,0.025466114,25270
460,36.0,0.025965501,25825
470,36.0,0.026464419,26371
480,36.0,0.026984071,26920
490,37.0,0.027478154,27464
500,36.0,0.027967067,28002
510,36.0,0.028415509,28545
520,36.0,0.028951851,29100
530,37.0,0.029429793,29652
540,36.0,0.029867981,30205
550,36.0,0.030346798,30746
560,37.0,0.030799202,31292
570,37.0,0.031294415,31836
580,37.0,0.031776941,32391
590,36.0,0.032234806,32936
600,36.0,0.03268626,33487
610,37.0,0.033172165,34034
620,37.0,0.033621873,34586
630,37.0,0.034063508,35128
640,37.0,0.034487826,35678
650,38.0,0.034906483,36226
660,39.0,0.035384181,36774
670,38.0,0.035830857,37317
680,39.0,0.036304143,37860
690,39.0,0.036737282,38412
700,39.0,0.037205527,38956
710,39.0,0.03763813,39501
720,40.0,0.038155872,40050
730,39.0,0.038594061,40602
740,39.0,0.039120545,41154
750,39.0,0.039624208,41708
760,38.0,0.040073355,42256
770,38.0,0.040514324,42815
780,39.0,0.04096038,43368
790,39.0,0.041438691,43908
800,39.0,0.041884877,44454
810,40.0,0.042339112,45004
820,39.0,0.042907984,45552
830,40.0,0.043467178,46104
840,40.0,0.043980826,46655
850,39.0,0.044518307,47203
860,40.0,0.045021637,47749
870,42.0,0.045551775,48291
880,42.0,0.046026224,48833
890,45.0,0.04649366,49375
900,45.0,0.046994742,49925
910,44.0,0.047504533,50477
920,47.0,0.04795318,51024
930,46.0,0.048455453,51566
940,46.0,0.048908681,52116
950,46.0,0.049445908,52658
960,46.0,0.049947703,53198
970,48.0,0.050468833,53749
980,48.0,0.050962089,54294
990,48.0,0.05146204,54844
1000,48.0,0.052113885,55396
