iterations,fitness,time,fevals
0,23.0,0.000565098,555
10,26.0,0.001014712,1000
20,28.0,0.001632864,1459
30,25.0,0.002057984,1915
40,25.0,0.002470424,2375
50,25.0,0.002887613,2844
60,30.0,0.003298625,3286
70,30.0,0.003667891,3739
80,31.0,0.004051385,4194
90,31.0,0.004407281,4635
100,30.0,0.004765303,5092
110,31.0,0.005120528,5540
120,30.0,0.005483586,5993
130,30.0,0.005861558,6440
140,30.0,0.006229384,6900
150,31.0,0.006640542,7354
160,31.0,0.007004735,7805
170,30.0,0.007420869,8262
180,32.0,0.007798368,8717
190,33.0,0.008183666,9160
200,34.0,0.008591313,9611
210,34.0,0.008952087,10067
220,34.0,0.009371837,10535
230,35.0,0.009773141,10987
240,36.0,0.010218224,11434
250,38.0,0.010605808,11892
260,39.0,0.010972633,12353
270,36.0,0.011342309,12807
280,36.0,0.011747505,13276
290,35.0,0.012117959,13723
300,36.0,0.012483,14189
310,36.0,0.01285864,14634
320,37.0,0.013224996,15081
330,36.0,0.013589126,15531
340,36.0,0.013973139,15987
350,37.0,0.014351846,16437
360,37.0,0.014730935,16885
370,40.0,0.015114719,17344
380,39.0,0.015541377,17805
390,41.0,0.016024232,18261
400,41.0,0.016449796,18722
410,38.0,0.016863632,19169
420,39.0,0.017255236,19627
430,39.0,0.017648363,20067
440,41.0,0.018076809,20524
450,42.0,0.018433291,20979
460,45.0,0.018795873,21433
470,40.0,0.019285925,21895
480,41.0,0.019655556,22345
490,40.0,0.020033806,22800
500,40.0,0.020395146,23253
510,42.0,0.020747682,23710
520,42.0,0.021109671,24160
530,42.0,0.021469394,24610
540,43.0,0.021837565,25065
550,46.0,0.022218872,25521
560,47.0,0.022588767,25974
570,50.0,0.022946742,26434
580,51.0,0.02330044,26897
590,51.0,0.023646556,27360
600,51.0,0.023985427,27814
610,51.0,0.02434592,28267
620,52.0,0.024700119,28722
630,52.0,0.025050543,29162
640,53.0,0.025430063,29613
650,53.0,0.025817383,30084
660,55.0,0.026188386,30549
670,55.0,0.026601411,30999
680,55.0,0.026976538,31453
690,55.0,0.027456335,31907
700,57.0,0.027841686,32361
710,56.0,0.028267097,32824
720,59.0,0.028707384,33273
730,56.0,0.02919459,33733
740,56.0,0.029677935,34187
750,58.0,0.030054784,34651
760,58.0,0.030482428,35117
770,59.0,0.030854512,35566
780,59.0,0.031231449,36033
790,59.0,0.031609326,36497
800,61.0,0.031985425,36945
810,61.0,0.03240543,37399
820,61.0,0.032806971,37864
830,62.0,0.033180379,38319
840,62.0,0.033517961,38760
850,63.0,0.033834874,39224
860,64.0,0.034156502,39660
870,65.0,0.034508614,40115
880,65.0,0.034827531,40559
890,65.0,0.035142404,41005
900,65.0,0.035507851,41460
910,67.0,0.035819537,41919
920,68.0,0.036129688,42370
930,65.0,0.036477446,42811
940,66.0,0.036866375,43274
950,65.0,0.037206905,43730
960,65.0,0.037598336,44184
970,66.0,0.037975562,44639
980,66.0,0.038341686,45077
990,64.0,0.038719687,45540
1000,62.0,0.039058171,45976
