iterations,fitness,time,fevals
0,20.0,0.000462774,284
10,20.0,0.000956188,467
20,23.0,0.001346615,650
30,24.0,0.001679563,833
40,25.0,0.001990055,1020
50,24.0,0.002233574,1209
60,24.0,0.002524231,1396
70,24.0,0.002910817,1580
80,24.0,0.00317852,1765
90,24.0,0.003442544,1948
100,24.0,0.003728641,2130
110,24.0,0.00399243,2312
120,24.0,0.004246006,2494
130,24.0,0.004696883,2680
140,25.0,0.005153314,2867
150,25.0,0.005500868,3052
160,25.0,0.005804074,3243
170,25.0,0.006181089,3426
180,25.0,0.00649258,3614
190,25.0,0.006801255,3797
200,26.0,0.007166231,3981
210,25.0,0.007483096,4166
220,25.0,0.007860845,4351
230,26.0,0.008293104,4539
240,25.0,0.008673602,4719
250,25.0,0.009060265,4903
260,26.0,0.009497722,5085
270,26.0,0.009944502,5269
280,26.0,0.010389099,5453
290,25.0,0.010972281,5638
300,25.0,0.01133408,5824
310,25.0,0.011641233,6009
320,25.0,0.011946876,6196
330,26.0,0.012245465,6383
340,26.0,0.012866778,6570
350,25.0,0.013560784,6755
360,26.0,0.013977541,6942
370,26.0,0.01434369,7131
380,26.0,0.014728456,7312
390,26.0,0.015102284,7504
400,26.0,0.01536456,7691
410,26.0,0.015648651,7879
420,27.0,0.015959771,8067
430,26.0,0.016250185,8253
440,26.0,0.01653468,8437
450,26.0,0.016850054,8616
460,26.0,0.017110214,8803
470,26.0,0.017365907,8993
480,27.0,0.017630289,9179
490,27.0,0.017948964,9360
500,27.0,0.018281864,9547
510,27.0,0.01862548,9737
520,27.0,0.019090103,9913
530,27.0,0.019463465,10108
540,27.0,0.019768827,10294
550,27.0,0.020115583,10478
560,27.0,0.020528697,10661
570,27.0,0.021209622,10847
580,27.0,0.021707722,11027
590,27.0,0.022020106,11216
600,28.0,0.022505085,11406
610,28.0,0.022994024,11588
620,28.0,0.023315947,11772
630,28.0,0.023580834,11961
640,29.0,0.02386519,12147
650,28.0,0.024139773,12328
660,28.0,0.024424657,12515
670,29.0,0.024705112,12700
680,29.0,0.024985878,12884
690,29.0,0.025266253,13068
700,28.0,0.025554528,13254
710,28.0,0.025858104,13444
720,29.0,0.026148158,13637
730,29.0,0.02645917,13822
740,29.0,0.026799481,14008
750,30.0,0.027174463,14194
760,30.0,0.027553726,14381
770,29.0,0.036609619,14564
780,30.0,0.037013445,14749
790,30.0,0.037290148,14931
800,29.0,0.03754193,15115
810,29.0,0.0377843,15301
820,30.0,0.038030064,15490
830,29.0,0.038275521,15676
840,29.0,0.038516246,15861
850,29.0,0.039019978,16050
860,30.0,0.039720456,16232
870,30.0,0.039972861,16415
880,30.0,0.04022036,16598
890,37.0,0.040473047,16783
900,37.0,0.04077479,16969
910,37.0,0.041183606,17158
920,40.0,0.041537608,17338
930,46.0,0.041889516,17524
940,46.0,0.042231319,17709
950,46.0,0.042552626,17892
960,47.0,0.042855375,18080
970,47.0,0.043176082,18267
980,47.0,0.043475636,18455
990,47.0,0.043909131,18643
1000,46.0,0.044279562,18835
