iterations,fitness,time,fevals
0,11.0,2.1766e-05,11
10,15.0,4.01320000001e-05,21
20,14.0,5.71110000001e-05,31
30,13.0,7.6653e-05,41
40,12.0,9.4518e-05,51
50,15.0,0.000111932,61
60,10.0,0.00015616,71
70,10.0,0.000182938,81
80,12.0,0.000206234,91
90,14.0,0.000227392,101
100,14.0,0.000245235,111
110,14.0,0.000262078,121
120,13.0,0.000280339,131
130,15.0,0.000298252,141
140,11.0,0.000315411,151
150,15.0,0.000332302,161
160,17.0,0.000350654,171
170,13.0,0.000367811,181
180,14.0,0.000385395,191
190,13.0,0.000405079,201
200,13.0,0.000455511,211
210,11.0,0.000473414,221
220,11.0,0.000487544,231
230,11.0,0.000502101,241
240,15.0,0.000517226,251
250,13.0,0.000543156,261
260,14.0,0.000567903,271
270,10.0,0.000584529,281
280,13.0,0.000599044,291
290,13.0,0.00061355,301
300,13.0,0.0006281,311
310,11.0,0.000643319,321
320,14.0,0.000659189,331
330,12.0,0.00067875,341
340,13.0,0.0006989,351
350,13.0,0.000719425,361
360,13.0,0.000736525,371
370,16.0,0.000754207,381
380,17.0,0.000770959,391
390,15.0,0.000787207,401
400,15.0,0.000802411,411
410,12.0,0.000820975,421
420,13.0,0.000837328,431
430,14.0,0.000854037,441
440,14.0,0.0008718,451
450,14.0,0.000891196,461
460,14.0,0.000912627,471
470,14.0,0.000934573,481
480,15.0,0.000951067,491
490,15.0,0.000969755,501
500,16.0,0.000987343,511
510,17.0,0.00100473,521
520,17.0,0.001021664,531
530,17.0,0.001037262,541
540,22.0,0.001053828,551
550,22.0,0.001071513,561
560,22.0,0.001088082,571
570,23.0,0.001105234,581
580,24.0,0.001123519,591
590,24.0,0.001141799,601
600,24.0,0.001165197,611
610,24.0,0.001182427,621
620,24.0,0.001201025,631
630,24.0,0.001218796,641
640,24.0,0.001236966,651
650,24.0,0.001253566,661
660,24.0,0.001272051,671
670,24.0,0.001290015,681
680,24.0,0.001307579,691
690,25.0,0.001323647,701
700,26.0,0.001341448,711
710,26.0,0.001361141,721
720,26.0,0.00137689,731
730,27.0,0.001392029,741
740,27.0,0.001408325,751
750,27.0,0.001426698,761
760,27.0,0.001445642,771
770,27.0,0.001463066,781
780,28.0,0.001480053,791
790,28.0,0.001497665,801
800,28.0,0.001514973,811
810,30.0,0.001529882,821
820,30.0,0.001545379,831
830,30.0,0.001565067,841
840,30.0,0.001582781,851
850,30.0,0.001599474,861
860,30.0,0.001614679,871
870,30.0,0.001629614,881
880,30.0,0.001645124,891
890,31.0,0.001660809,901
900,31.0,0.001675058,911
910,31.0,0.001693102,921
920,31.0,0.001710408,931
930,31.0,0.001725606,941
940,31.0,0.001743587,951
950,31.0,0.001760477,961
960,31.0,0.00178025,971
970,31.0,0.001800546,981
980,31.0,0.001821816,991
990,31.0,0.001838874,1001
1000,31.0,0.001869707,1011
