iterations,fitness,time,fevals
0,13.0,0.000139714,11
10,12.0,0.000170651,21
20,13.0,0.000206963,31
30,13.0,0.00031648,41
40,12.0,0.000335536,51
50,12.0,0.000352971,61
60,12.0,0.000371111,71
70,12.0,0.000388319,81
80,14.0,0.000409433,91
90,15.0,0.000427927,101
100,15.0,0.000447077,111
110,16.0,0.000465302,121
120,15.0,0.000482896,131
130,17.0,0.000501809,141
140,16.0,0.000519636,151
150,16.0,0.000538442,161
160,16.0,0.000557231,171
170,11.0,0.000574707,181
180,14.0,0.00059139,191
190,15.0,0.000613571,201
200,15.0,0.000632423,211
210,15.0,0.000650931,221
220,12.0,0.000670226,231
230,15.0,0.000691081,241
240,17.0,0.000708037,251
250,14.0,0.000724383,261
260,12.0,0.000742209,271
270,12.0,0.000771279,281
280,12.0,0.000786882,291
290,11.0,0.000802934,301
300,12.0,0.00082233,311
310,14.0,0.000843382,321
320,14.0,0.000859704,331
330,14.0,0.000886811,341
340,11.0,0.000903182,351
350,11.0,0.000919712,361
360,14.0,0.00093552,371
370,15.0,0.000954813,381
380,14.0,0.000988108,391
390,13.0,0.001008697,401
400,14.0,0.001038933,411
410,14.0,0.001061301,421
420,14.0,0.001087745,431
430,15.0,0.001121097,441
440,14.0,0.001141461,451
450,14.0,0.001158723,461
460,14.0,0.001182008,471
470,14.0,0.001200249,481
480,15.0,0.001219053,491
490,15.0,0.001238197,501
500,15.0,0.001256672,511
510,21.0,0.001309108,521
520,21.0,0.001333613,531
530,21.0,0.001392119,541
540,21.0,0.001412683,551
550,23.0,0.001436558,561
560,23.0,0.00145731,571
570,23.0,0.001480764,581
580,23.0,0.001514709,591
590,23.0,0.001545712,601
600,25.0,0.001694705,611
610,25.0,0.001721381,621
620,25.0,0.001739407,631
630,27.0,0.001756955,641
640,27.0,0.001773779,651
650,28.0,0.00181074,661
660,28.0,0.00183202,671
670,28.0,0.001850182,681
680,28.0,0.001868271,691
690,28.0,0.001919539,701
700,28.0,0.001940802,711
710,28.0,0.001959797,721
720,28.0,0.001992887,731
730,28.0,0.002009855,741
740,29.0,0.002036626,751
750,29.0,0.002057226,761
760,29.0,0.00207365,771
770,29.0,0.002089594,781
780,29.0,0.002108075,791
790,29.0,0.002128164,801
800,29.0,0.002147749,811
810,29.0,0.002169999,821
820,29.0,0.002190871,831
830,29.0,0.002211613,841
840,29.0,0.002230876,851
850,29.0,0.002252895,861
860,29.0,0.002274888,871
870,29.0,0.002297964,881
880,29.0,0.002334752,891
890,29.0,0.002358935,901
900,29.0,0.002380071,911
910,33.0,0.002400168,921
920,33.0,0.002420383,931
930,33.0,0.002440928,941
940,33.0,0.002461172,951
950,33.0,0.002484079,961
960,33.0,0.002505016,971
970,33.0,0.002551568,981
980,33.0,0.002586812,991
990,35.0,0.002607123,1001
1000,35.0,0.002629823,1011
