iterations,fitness,time,fevals
0,17.0,0.000588853,428
10,21.0,0.001162516,769
20,22.0,0.001790449,1112
30,23.0,0.00237503,1449
40,24.0,0.002775821,1789
50,24.0,0.003217905,2121
60,24.0,0.003523048,2455
70,27.0,0.003983851,2787
80,25.0,0.004393736,3110
90,24.0,0.00480761,3450
100,27.0,0.005206424,3786
110,28.0,0.005623555,4125
120,31.0,0.006038566,4455
130,30.0,0.006340135,4780
140,29.0,0.006760532,5111
150,28.0,0.007073195,5451
160,30.0,0.007438941,5795
170,30.0,0.007729814,6123
180,29.0,0.008021942,6447
190,30.0,0.008367895,6778
200,29.0,0.008660014,7108
210,30.0,0.008953075,7443
220,29.0,0.009254297,7783
230,31.0,0.009549034,8103
240,32.0,0.01000894,8444
250,32.0,0.01040199,8780
260,33.0,0.010722589,9116
270,31.0,0.011038379,9445
280,33.0,0.011329234,9770
290,33.0,0.011645684,10105
300,35.0,0.011941568,10435
310,37.0,0.012228889,10773
320,37.0,0.012530407,11104
330,37.0,0.012823685,11441
340,39.0,0.013109025,11778
350,39.0,0.013411317,12114
360,39.0,0.013690647,12451
370,39.0,0.013971987,12773
380,39.0,0.014292505,13104
390,39.0,0.01459495,13438
400,40.0,0.014900786,13775
410,41.0,0.015193197,14115
420,41.0,0.015482153,14454
430,41.0,0.015774115,14790
440,42.0,0.01609003,15134
450,40.0,0.016393219,15465
460,42.0,0.01669751,15795
470,42.0,0.017026432,16127
480,44.0,0.017336095,16464
490,42.0,0.017638828,16802
500,43.0,0.017954609,17135
510,42.0,0.018402599,17467
520,43.0,0.018715114,17797
530,43.0,0.019024676,18138
540,43.0,0.019497492,18469
550,43.0,0.019840425,18807
560,43.0,0.020136178,19151
570,43.0,0.020539367,19493
580,44.0,0.02082933,19815
590,44.0,0.021130633,20155
600,46.0,0.021413463,20491
610,45.0,0.021699793,20825
620,47.0,0.021998007,21168
630,47.0,0.022271251,21511
640,45.0,0.022550223,21854
650,45.0,0.02283117,22179
660,47.0,0.023137155,22512
670,45.0,0.02343026,22845
680,47.0,0.023721458,23180
690,46.0,0.024025172,23518
700,47.0,0.024316579,23847
710,47.0,0.024605572,24175
720,46.0,0.024906306,24507
730,46.0,0.025198439,24838
740,46.0,0.025489328,25172
750,46.0,0.025924684,25512
760,46.0,0.026224377,25844
770,46.0,0.026533733,26177
780,47.0,0.026827315,26507
790,47.0,0.027126625,26846
800,47.0,0.027594978,27176
810,52.0,0.028030451,27512
820,50.0,0.028345175,27846
830,52.0,0.028877754,28175
840,52.0,0.029669706,28503
850,52.0,0.03049176,28833
860,54.0,0.031288183,29175
870,54.0,0.032100771,29503
880,55.0,0.032886739,29821
890,55.0,0.03370976,30159
900,55.0,0.03455538,30483
910,55.0,0.035521507,30823
920,55.0,0.036381922,31161
930,57.0,0.037243151,31501
940,55.0,0.038625127,31834
950,56.0,0.03963397,32173
960,56.0,0.040642566,32500
970,56.0,0.041448406,32833
980,57.0,0.041876238,33152
990,57.0,0.042315322,33490
1000,58.0,0.043401727,33828
