sample,fitness,time

200,5.0,0.000900191
300,4.0,0.000983282
400,7.0,0.001035566
500,2.0,0.001087948
600,8.0,0.00118575
700,1.0,0.001493335
800,1.0,0.00130146
900,1.0,0.001352817
1000,5.0,0.00144516
1100,2.0,0.001550937
1200,8.0,0.001453957
1300,0.0,0.001643813
1400,5.0,0.004672195
1500,1.0,0.001818643
1600,2.0,0.001658919
1700,1.0,0.001811683
1800,2.0,0.001813451
1900,2.0,0.001883506
2000,0.0,0.002012196
