iterations,fitness,time,fevals
0,0.0207810498977,1.601654146,1000
10,0.0200527339712,3.209120464,2100
20,0.0204165192277,4.893772343,3200
30,0.0206900188464,6.48001608,4300
40,0.0204004043603,8.063418421,5400
50,0.0200193014091,9.630807725,6500
60,0.0207256829125,11.202566018,7600
70,0.021054659368,12.824529596,8700
80,0.0198584796837,14.480234505,9800
90,0.0198745333126,16.075757239,10900
100,0.020800621715,17.692271969,12000
110,0.01995519946,19.376959905,13100
120,0.0214619959316,20.950394354,14200
130,0.0203483720549,22.552134747,15300
140,0.0201763375575,24.148139855,16400
150,0.0205295656366,25.739359164,17500
160,0.0210543911596,27.333940284,18600
170,0.0206421143467,29.235343639,19700
180,0.0205499336464,30.916397505,20800
190,0.0218747686013,32.619011803,21900
200,0.0193842412381,34.223445564,23000
210,0.0200986264986,36.155971237,24100
220,0.0199601095338,37.750613104,25200
230,0.0212989375332,39.355893118,26300
240,0.020928574363,41.0541404,27400
250,0.0209690287656,42.624369727,28500
260,0.0214035936568,44.186332533,29600
270,0.0194004950472,45.776261363,30700
280,0.0201325495733,47.350953039,31800
290,0.0234334455842,48.925653937,32900
300,0.0212580874837,50.502473126,34000
310,0.0203093431343,52.12073076,35100
320,0.0206555016875,53.698629809,36200
330,0.0193267922443,55.271269001,37300
340,0.0205526991799,56.869831984,38400
350,0.0210211086522,58.472275195,39500
360,0.021960772051,60.084985702,40600
370,0.0199786019338,61.729488715,41700
380,0.0212154484632,63.496267985,42800
390,0.0200046991345,65.597185255,43900
400,0.0213104133723,67.956394215,45000
410,0.0209425730926,69.871543225,46100
420,0.0197679250538,71.98424641,47200
430,0.0205466066237,74.0009728,48300
440,0.0201653534076,75.848258078,49400
450,0.0203520230274,77.877431305,50500
460,0.0199349335792,79.53426002,51600
470,0.0202631628484,81.247061837,52700
480,0.0201060639221,82.861053904,53800
490,0.0202812032297,84.460099667,54900
500,0.0197805762165,86.050546621,56000
510,0.0208556107036,87.652634652,57100
520,0.0192732454539,89.239629789,58200
530,0.0197173500696,90.844986038,59300
540,0.0211766317963,92.486697913,60400
550,0.0205417111708,94.294298761,61500
560,0.0198548111983,95.95249439,62600
570,0.0196128583335,97.716293515,63700
580,0.0213632493263,99.57005526,64800
590,0.0195446883554,101.463373839,65900
600,0.0216621973463,103.111727691,67000
610,0.0210151863686,105.123347223,68100
620,0.0217165547338,106.808562126,69200
630,0.0199218203996,108.653641075,70300
640,0.0201661153679,110.559804277,71400
650,0.0205111478273,112.358470586,72500
660,0.0199216310674,114.521664889,73600
670,0.020220613341,116.277706322,74700
680,0.0204411558885,118.052132116,75800
690,0.0207814850657,119.676718353,76900
700,0.0209882262336,121.340599825,78000
710,0.0218290711269,123.08689985,79100
720,0.021359221563,124.720905888,80200
730,0.0202043368,126.325663783,81300
740,0.0199885080218,127.938002464,82400
750,0.0200641099662,129.535283866,83500
760,0.0204281127834,131.191364445,84600
770,0.0211250594994,132.786327347,85700
780,0.0204297095139,134.474799629,86800
790,0.0214066333323,136.360868075,87900
800,0.0205694698348,138.180745271,89000
810,0.0207225548291,139.929331127,90100
820,0.0209405948237,141.901884695,91200
830,0.0215273540872,144.039280203,92300
840,0.0216148051958,145.972015573,93400
850,0.0195412874272,148.051018599,94500
860,0.0200495778125,149.951491988,95600
870,0.0204764474437,151.827826712,96700
880,0.0199291879424,153.429819377,97800
890,0.0213249054925,155.064586456,98900
900,0.0208552923225,156.727237733,100000
910,0.0208440292565,158.405230195,101100
920,0.0198209521201,159.989848347,102200
930,0.0197550411609,161.66675003,103300
940,0.020568727521,163.293003741,104400
950,0.020869665171,164.90017587,105500
960,0.0197108203545,166.591534624,106600
970,0.0207244812772,168.356977271,107700
980,0.0207756246333,170.012105293,108800
990,0.0212919710849,171.627645075,109900
1000,0.0203419751132,173.283335678,111000
