iterations,fitness,time,fevals
0,0.0210839660508,1.744367858,1000
10,0.0214339099835,3.428636464,2100
20,0.0211486184549,5.095706911,3200
30,0.0211193857515,6.854841455,4300
40,0.0199132736844,8.57337303,5400
50,0.0205748690667,10.300638657,6500
60,0.0213448536609,12.021202034,7600
70,0.0194846271708,13.717970824,8700
80,0.0208660110016,15.610068552,9800
90,0.0204093304419,17.296470367,10900
100,0.0196882747084,19.064856855,12000
110,0.0213005309505,20.703012467,13100
120,0.0216435824618,22.391797037,14200
130,0.0214285177729,24.083628417,15300
140,0.0206527501248,25.737841122,16400
150,0.021743835244,27.384364259,17500
160,0.0190927960797,29.042168046,18600
170,0.0208640726099,30.670623414,19700
180,0.0214924360677,32.327886694,20800
190,0.0207739951787,33.962165933,21900
200,0.0205184592142,35.588807795,23000
210,0.0203212262801,37.205920784,24100
220,0.019578794945,38.835761943,25200
230,0.021201317284,40.466717296,26300
240,0.0209405534849,42.082635306,27400
250,0.0206243193532,43.706121624,28500
260,0.0208186746834,45.320997317,29600
270,0.0223375336458,46.968120037,30700
280,0.0206844335574,48.60018266,31800
290,0.0203423625078,50.255996569,32900
300,0.0204025056157,51.949723694,34000
310,0.0205930738224,53.637578099,35100
320,0.0200696821688,55.341931141,36200
330,0.0206716511036,57.005306159,37300
340,0.0226494719008,58.700065903,38400
350,0.0208121944686,60.355718099,39500
360,0.0219658307093,61.98983766,40600
370,0.0208031349511,63.637575672,41700
380,0.0200345489432,65.268808808,42800
390,0.0207928333841,66.896978492,43900
400,0.021983332095,68.532226551,45000
410,0.0223188588001,70.373753091,46100
420,0.0210218083249,72.006618525,47200
430,0.0211482272244,73.64384995,48300
440,0.0202401475844,75.289256152,49400
450,0.0198884740595,76.948647937,50500
460,0.0210408741453,78.595940543,51600
470,0.0213612964207,80.246122124,52700
480,0.0213525246603,81.888479126,53800
490,0.0203321067837,83.532177888,54900
500,0.0208550078083,85.175698178,56000
510,0.0203116565795,86.803417303,57100
520,0.0216879502609,88.472990456,58200
530,0.0206736098769,90.104417355,59300
540,0.0201469960349,91.763708303,60400
550,0.0197930429924,93.387036593,61500
560,0.0219037906072,94.993473284,62600
570,0.0206666504257,96.620495887,63700
580,0.0200786604322,98.250730873,64800
590,0.020216443598,99.909092057,65900
600,0.0212679047054,101.527844629,67000
610,0.0208976453831,103.155524339,68100
620,0.0203794138849,104.765987606,69200
630,0.0209047774946,106.403893032,70300
640,0.0205508438669,108.035676595,71400
650,0.021504871914,109.649008629,72500
660,0.0209894261065,111.296267966,73600
670,0.0200278488419,112.925728497,74700
680,0.0202626295679,114.696741208,75800
690,0.0192309070455,116.330363976,76900
700,0.0211112490268,117.943359189,78000
710,0.0199955613075,119.567596768,79100
720,0.0200756569396,121.207043473,80200
730,0.0197201826641,122.831048702,81300
740,0.0197179046337,124.524575386,82400
750,0.0205190345601,126.175152116,83500
760,0.02158478132,127.930693889,84600
770,0.0196267976242,129.591879481,85700
780,0.0200663894969,131.228568654,86800
790,0.0215799070823,132.889261455,87900
800,0.0206112906492,134.522370849,89000
810,0.0207835692845,136.18275256,90100
820,0.0200458285395,137.845318954,91200
830,0.0204134961683,139.462994157,92300
840,0.0207456417987,141.122668917,93400
850,0.0203567355623,142.765124971,94500
860,0.0212761397213,144.380474514,95600
870,0.020282313224,146.088316668,96700
880,0.0203212740685,147.843134021,97800
890,0.0185105588294,149.605682865,98900
900,0.0200021836882,151.275329314,100000
910,0.0202419528505,152.902756482,101100
920,0.0197280144497,154.530009238,102200
930,0.0202977407926,156.160137557,103300
940,0.0190543443311,157.936566633,104400
950,0.0202504737524,159.591166283,105500
960,0.0198387645908,161.249296773,106600
970,0.020287879908,162.903846264,107700
980,0.0203040603563,164.53149598,108800
990,0.0204976714608,166.353835856,109900
1000,0.0212199042855,168.016838214,111000
